Name,Date,Space Complexity,Tags,Time Complexity,Topic 1
62. Unique Paths,,O(n*m),,O(n*m),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
743. Network Delay Time,"September 28, 2025",,,,Dijkstra (https://www.notion.so/Dijkstra-245fa7ea1c97802cb223cc9bdcb08ab8?pvs=21)
153. Find Minimum in Rotated Sorted Array,,O(1),Revision needed,O(logn),Binary Search (https://www.notion.so/Binary-Search-24cfa7ea1c9780b39a9ecae826f1f8ad?pvs=21)
206. Reverse Linked List,"September 27, 2025",O(1),,O(n),Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)
33. Search in Rotated Sorted Array,,O(1),Revision needed,O(logn),Binary Search (https://www.notion.so/Binary-Search-24cfa7ea1c9780b39a9ecae826f1f8ad?pvs=21)
23. Merge k Sorted Lists,,O(k),,O(n*logk),"Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21), Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)"
124. Binary Tree Maximum Path Sum,,O(n),Revision needed,O(n),Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
238. Product of Array Except Self,"October 1, 2025",O(n),,O(n),"Array (https://www.notion.so/Array-24efa7ea1c9780b9b756fa92e608e324?pvs=21), Prefix Sum (https://www.notion.so/Prefix-Sum-24efa7ea1c97802e8800e09de7c5e440?pvs=21)"
128. Longest Consecutive Sequence,"October 27, 2025",,Revision needed,,Union Find (https://www.notion.so/Union-Find-258fa7ea1c97805c98aff8d4005f1723?pvs=21)
15. 3Sum,,,,,Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
11. Container With Most Water,"November 4, 2025",O(1),,O(n),Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
121. Best Time to Buy and Sell Stock,"October 30, 2025",,Revision needed,,Sliding window (https://www.notion.so/Sliding-window-24efa7ea1c978067aeeed8e0f0fa4f99?pvs=21)
3. Longest Substring Without Repeating Characters,"November 1, 2025",,,,Sliding WIndow (https://www.notion.so/Sliding-WIndow-24cfa7ea1c9780eaac90c4b65ef2907a?pvs=21)
424. Longest Repeating Character Replacement,"November 1, 2025",O(1),,O(n),"Sliding WIndow (https://www.notion.so/Sliding-WIndow-24cfa7ea1c9780eaac90c4b65ef2907a?pvs=21), Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)"
235. Lowest Common Ancestor of a Binary Search Tree,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
39. Combination Sum,,,,O(2^n),Backtracking (https://www.notion.so/Backtracking-24efa7ea1c9780f995c9d402d6dda177?pvs=21)
79 Word Search,,O(L),,O(m*n * 3^L),Backtracking (https://www.notion.so/Backtracking-24efa7ea1c9780f995c9d402d6dda177?pvs=21)
207. Course Schedule,,O(V+E),Revision needed,O(V+E),"Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21), Kahn's algorithm (https://www.notion.so/Kahn-s-algorithm-24ffa7ea1c9780c88c83ea742dbfa036?pvs=21), Topological sort DFS (https://www.notion.so/Topological-sort-DFS-250fa7ea1c97806ba31ad745d9cb67f2?pvs=21)"
210. Course Schedule II,,O(V+E),,O(V+E),"Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21), Kahn's algorithm (https://www.notion.so/Kahn-s-algorithm-24ffa7ea1c9780c88c83ea742dbfa036?pvs=21), Topological sort DFS (https://www.notion.so/Topological-sort-DFS-250fa7ea1c978057bbcdc5176fce1ce8?pvs=21)"
417. Pacific Atlantic Water Flow,,O(n*m),Revision needed,O(n*m),"Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21)"
17. Letter Combinations of a Phone Number,,O(4^n * n),,O(4^n * n),Backtracking (https://www.notion.so/Backtracking-24efa7ea1c9780f995c9d402d6dda177?pvs=21)
200. Number of Islands,,O(M*N),,O(M*N),"Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21), DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21)"
684. Redundant Connection,"October 8, 2025",O(∝(n)),,O(∝(n)),Union Find (https://www.notion.so/Union-Find-258fa7ea1c97805c98aff8d4005f1723?pvs=21)
127. Word Ladder,,O(N*L),Revision needed,O(N*L^2),"BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21), Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21)"
1584. Min Cost to Connect All Points,"September 1, 2025",O(ElogE),Revision needed,O(ElogE),MST (https://www.notion.so/MST-261fa7ea1c97809088eaf36f0ef27f35?pvs=21)
778. Swim in Rising Water,"September 2, 2025",O(N^2),Revision needed,O(N^2 log(N^2)),Dijkstra (https://www.notion.so/Dijkstra-245fa7ea1c97802cb223cc9bdcb08ab8?pvs=21)
787. Cheapest Flights Within K Stops,"September 2, 2025",O(n),Revision needed,O(K * N),Bellman Ford (https://www.notion.so/Bellman-Ford-262fa7ea1c978060ae4ce72a3e92e5b2?pvs=21)
70. Climbing Stairs,"September 2, 2025",O(1),,O(n),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
746. Min Cost Climbing Stairs,"September 2, 2025",O(1),,O(n),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
198. House Robber,"January 2, 2026",O(1),,O(n),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
213. House Robber II,"January 2, 2026",O(1),,O(n),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
91. Decode Ways,"January 4, 2026",O(n),Revision needed,O(n),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
647. Palindromic Substrings,"November 13, 2025",O(N^2),Revision needed,O(N^2),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
5. Longest Palindromic Substring,"November 13, 2025",O(N^2),Revision needed,O(N^2),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
322. Coin Change,"November 7, 2025",O(n),,O(n),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
152. Maximum Product Subarray,"September 5, 2025",O(n),Revision needed,O(n),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
1143. Longest Common Subsequence,,O(n*m),,O(n*m),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
518. Coin Change II,,O(n*m),,O(n*m),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
72. Edit Distance,,O(n*m),,O(n*m),Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
226. Invert Binary Tree,,O(1),Revision needed,O(n),Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
https://leetcode.com/problems/sort-vowels-in-a-string/,,O(n),,O(n),Sorting (https://www.notion.so/Sorting-26bfa7ea1c9780eaa022f2b5ad3ac885?pvs=21)
416. Partition Equal Subset Sum,"September 13, 2025",O(n*m),,O(n*m),0/1 Knapsack (https://www.notion.so/0-1-Knapsack-26dfa7ea1c97809a93bbfe45719ce7a0?pvs=21)
300 Longest Increasing Subsequence ,"September 15, 2025",,,,
704. Binary Search,"November 13, 2025",O(1),,O(logn),Binary Search (https://www.notion.so/Binary-Search-24cfa7ea1c9780b39a9ecae826f1f8ad?pvs=21)
90 Subsets II,"September 23, 2025",O(2^n),,O(2^n),Backtracking (https://www.notion.so/Backtracking-24efa7ea1c9780f995c9d402d6dda177?pvs=21)
100. Same Tree,"September 23, 2025",O(n),Revision needed,O(n),Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
572. Subtree of Another Tree,,,,,
111. Minimum Depth of Binary Tree,"September 24, 2025",O(n),Revision needed,O(n),Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
104. Maximum Depth of Binary Tree,"September 24, 2025",O(n),,O(n),Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
543. Diameter of Binary Tree,"September 24, 2025",O(n),,O(n),Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
46 Permutations,"September 25, 2025",O(n),,O(n!),Backtracking (https://www.notion.so/Backtracking-24efa7ea1c9780f995c9d402d6dda177?pvs=21)
242. Valid Anagram,,O(1),,O(n),"Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21), Strings (https://www.notion.so/Strings-244fa7ea1c9780a78a4cc51d413d7267?pvs=21)"
347. Top K Frequent Elements,"October 1, 2025",O(n),,O(nlogn),"Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21), Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)"
31. Next Permutation,"November 12, 2025",O(1),Revision needed,O(n),Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
